#,Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,HOU,162,103,59,46,672,162,1455,10.44,2.69,0.94,0.283,77.90%,44.00%,11.60%,94.9,3.11,,3.23,3.36,28.6
2,NYY,162,100,62,49,670,162,1456.1,10.1,3.05,1.09,0.3,73.90%,42.90%,12.90%,95.1,3.78,,3.63,3.61,24.5
3,CLE,162,91,71,41,670,162,1457.1,9.54,2.51,1.24,0.298,76.00%,42.50%,13.70%,93.2,3.77,,3.78,3.66,22
4,PHI,162,80,82,44,758,162,1445.2,9.12,3.11,1.06,0.303,71.00%,45.40%,12.40%,94.1,4.15,,3.83,3.87,19.7
5,LAD,163,92,71,48,756,163,1476,9.54,2.57,1.09,0.284,76.20%,44.90%,13.40%,92.6,3.4,,3.6,3.52,19
6,BOS,162,108,54,46,697,162,1458.2,9.61,3.16,1.09,0.294,75.80%,42.40%,11.90%,93.6,3.75,,3.82,3.92,18.5
7,NYM,162,77,85,41,663,162,1460.2,8.91,2.98,1.14,0.295,73.00%,42.10%,12.20%,93.9,4.07,,3.97,4.03,17.9
8,TBR,162,90,72,52,715,162,1448.1,8.83,3.11,1.02,0.278,73.30%,43.90%,11.50%,94,3.75,,3.82,3.98,17.4
9,COL,163,91,72,51,681,163,1452.1,8.73,3.25,1.14,0.299,71.30%,45.20%,13.50%,93.4,4.33,,4.06,3.96,17.1
10,SEA,162,89,73,60,699,162,1448.2,8.25,2.49,1.21,0.295,72.50%,42.50%,12.70%,93.6,4.13,,4.05,4.06,16.5
11,WSN,162,82,80,40,724,162,1446,8.82,3.03,1.23,0.287,74.80%,41.20%,12.80%,93.4,4.04,,4.15,4.13,16.4
12,ATL,162,90,72,40,715,162,1456.2,8.79,3.92,0.95,0.278,74.10%,43.30%,11.20%,93.7,3.75,,3.99,4.16,15.1
13,PIT,161,82,79,40,641,161,1434,8.38,3.12,1.09,0.296,73.60%,43.40%,12.10%,94.3,4,,4.06,4.14,14.9
14,MIL,163,96,67,49,722,163,1461,8.8,3.41,1.07,0.279,74.40%,43.20%,12.50%,92.7,3.73,,4.01,4.04,14.5
15,STL,162,88,74,43,727,162,1455.1,8.27,3.67,0.89,0.293,73.00%,44.60%,10.50%,93.7,3.85,,3.97,4.24,14.4
16,CHC,163,95,68,46,763,163,1476.1,8.13,3.79,0.96,0.284,76.20%,45.00%,11.50%,92.4,3.65,,4.14,4.29,14.1
17,SFG,162,73,89,36,711,162,1461.1,7.82,3.23,0.96,0.293,72.30%,44.50%,11.00%,92.3,3.95,,3.98,4.2,14.1
18,OAK,162,97,65,44,740,162,1465.2,7.6,2.91,1.13,0.27,73.50%,43.60%,12.20%,92.6,3.82,,4.18,4.25,13.5
19,SDP,162,66,96,36,697,162,1457,8.64,3.21,1.14,0.305,71.10%,44.40%,13.60%,92.1,4.41,,4.1,3.99,12.4
20,LAA,162,80,82,35,763,162,1437.1,8.68,3.42,1.28,0.294,74.10%,42.10%,14.10%,93,4.15,,4.36,4.18,12.2
21,ARI,162,82,80,39,735,162,1463,8.91,3.21,1.07,0.289,75.70%,47.30%,13.70%,92.1,3.73,,3.91,3.81,12
22,MIN,162,78,84,37,728,162,1443.1,8.59,3.57,1.23,0.302,72.40%,41.60%,13.20%,92.7,4.5,,4.39,4.33,11.4
23,TEX,162,67,95,42,668,162,1431,7.05,3.09,1.4,0.299,69.60%,43.00%,14.10%,93,4.92,,4.79,4.58,10.9
24,DET,162,64,98,37,704,162,1425.1,7.67,3.1,1.36,0.291,70.50%,39.60%,12.90%,92.2,4.6,,4.59,4.55,10
25,CHW,162,62,100,34,715,162,1437,7.89,4.09,1.23,0.292,69.40%,40.80%,11.70%,93.3,4.85,,4.73,4.88,9.8
26,CIN,162,67,95,38,706,162,1441,7.86,3.32,1.42,0.3,71.50%,44.40%,15.80%,94,4.65,,4.68,4.28,8.7
27,TOR,162,73,89,39,752,162,1433.2,8.15,3.46,1.31,0.306,70.00%,42.50%,12.70%,91.9,4.85,,4.53,4.54,8.5
28,BAL,162,47,115,28,652,162,1431,7.57,3.7,1.47,0.31,70.00%,41.90%,14.40%,93,5.19,,4.98,4.73,7.1
29,KCR,162,58,104,33,645,162,1432,7.27,3.45,1.29,0.309,70.60%,43.10%,13.00%,93,4.95,,4.66,4.63,6.7
30,MIA,161,63,98,30,707,161,1442,7.8,3.78,1.2,0.29,69.90%,40.90%,12.10%,92.9,4.76,,4.57,4.65,2.4
